instance_id	repo	fusion_rank	kg_rank	path_len	entity	entity_type	file_path
astropy__astropy-13236	astropy__astropy	18	9	2	astropy.table.table.Table._convert_data_to_col(self, data, copy, default_name, dtype, name)	method	astropy/table/table.py
astropy__astropy-13579	astropy__astropy	12	2	3	astropy.wcs.wcsapi.wrappers.sliced_wcs.SlicedLowLevelWCS.world_to_pixel_values(self)	method	astropy/wcs/wcsapi/wrappers/sliced_wcs.py
astropy__astropy-14365	astropy__astropy	8	2	2	astropy.io.ascii.qdp._get_tables_from_qdp_file(qdp_file, input_colnames, delimiter)	method	astropy/io/ascii/qdp.py
astropy__astropy-7166	astropy__astropy	6	1	3	astropy.utils.misc.InheritDocstrings.__init__(cls, name, bases, dct)	method	astropy/utils/misc.py
astropy__astropy-7336	astropy__astropy	5	3	3	astropy.units.decorators.QuantityInput.__call__(self, wrapped_function)	method	astropy/units/decorators.py
django__django-10914	django__django	12	2	2	django.conf.global_settings.FILE_UPLOAD_PERMISSIONS = None	method	django/conf/global_settings.py
django__django-10999	django__django	3	3	2	"django.utils.dateparse.standard_duration_re = re.compile(
    r'^'
    r'(?:(?P<days>-?\d+) (days?, )?)?'
    r'((?:(?P<hours>-?\d+):)(?=\d+:\d+))?'
    r'(?:(?P<minutes>-?\d+):)?'
    r'(?P<seconds>-?\d+)'
    r'(?:\.(?P<microseconds>\d{1,6})\d{0,6})?'
    r'$'
)"	method	django/utils/dateparse.py
django__django-11099	django__django	8	6	3	django.contrib.auth.validators.UnicodeUsernameValidator.regex = ^[\w.@+-]+$	method	django/contrib/auth/validators.py
django__django-11400	django__django	4	2	3	django.contrib.admin.filters.RelatedFieldListFilter.field_choices(self, field, request, model_admin)	method	django/contrib/admin/filters.py
django__django-11532	django__django	7	4	2	django.core.mail.message.sanitize_address(addr, encoding)	method	django/core/mail/message.py
django__django-11728	django__django	6	1	2	django.contrib.admindocs.utils.replace_named_groups(pattern)	method	django/contrib/admindocs/utils.py
django__django-11880	django__django	1	1	3	django.forms.fields.Field.__deepcopy__(self, memo)	method	django/forms/fields.py
django__django-11951	django__django	3	3	3	django.db.models.query.QuerySet._batched_insert(self, objs, fields, batch_size, ignore_conflicts)	method	django/db/models/query.py
django__django-12262	django__django	6	2	2	django.template.library.parse_bits(parser, bits, params, varargs, varkw, defaults, kwonly, kwonly_defaults, takes_context, name)	method	django/template/library.py
django__django-12419	django__django	9	2	2	django.conf.global_settings.SECURE_REFERRER_POLICY = None	method	django/conf/global_settings.py
django__django-12774	django__django	7	7	3	django.db.models.query.QuerySet.in_bulk(self, id_list)	method	django/db/models/query.py
django__django-13023	django__django	3	2	3	django.db.models.fields.__init__.DecimalField.to_python(self, value)	method	django/db/models/fields/__init__.py
django__django-13344	django__django	16	6	3	django.middleware.security.SecurityMiddleware.__init__(self, get_response)	method	django/middleware/security.py
django__django-13658	django__django	9	9	3	django.core.management.__init__.ManagementUtility.execute(self)	method	django/core/management/__init__.py
django__django-14170	django__django	8	3	3	django.db.models.lookups.YearLookup.year_lookup_bounds(self, connection, year)	method	django/db/models/lookups.py
django__django-14404	django__django	2	1	3	django.contrib.admin.sites.AdminSite.catch_all_view(self, request, url)	method	django/contrib/admin/sites.py
django__django-14672	django__django	7	7	3	django.db.models.fields.reverse_related.ManyToManyRel.identity(self)	method	django/db/models/fields/reverse_related.py
django__django-14787	django__django	4	4	2	django.utils.decorators._multi_decorate(decorators, method)	method	django/utils/decorators.py
django__django-15252	django__django	11	6	3	django.db.migrations.executor.MigrationExecutor.migrate(self, targets, plan, state, fake, fake_initial)	method	django/db/migrations/executor.py
django__django-15503	django__django	11	4	3	django.db.models.fields.json.HasKeyLookup.as_sqlite(self, compiler, connection)	method	django/db/models/fields/json.py
